certification_id,supplier_id,supplier_name_normalized,cert_name_raw,cert_name_normalized,expiry_date_raw,expiry_date,source_file,source_sheet,source_row,source_column
CERT_5138353643554352221,SUP_5903614860450920835,CONRAD ELECTRONIC ITALIA S.R.L.,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_3528171217906479681,SUP_5903614860450920835,CONRAD ELECTRONIC ITALIA S.R.L.,ISO 9001:2015,ISO 9001:2015,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_8765666563942923494,SUP_7750062822869888211,CONTRADATA,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_99141702482091592,SUP_7750062822869888211,CONTRADATA,ISO 9001:2015,ISO 9001:2015,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_890117298920325118,SUP_7091032332535812936,CONVERGE,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_4491744530344026468,SUP_7091032332535812936,CONVERGE,ISO 9001:2015,ISO 9001:2015,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_5628766349792338412,SUP_4359817916978970665,CSA TEAM S.R.L.,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_5628766349792338412,SUP_4359817916978970665,CSA TEAM S.R.L.,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_984994285555694863,SUP_988411792829340421,D & P ELECTRONIC SYSTEMS SRL,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_1323689393863963066,SUP_988411792829340421,D & P ELECTRONIC SYSTEMS SRL,ISO 9001:2015 - certificato n. 12963,ISO 9001:2015 - CERTIFICATO N. 12963,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_1385277090063446512,SUP_1769015406742356185,D.P.I.,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_1385277090063446512,SUP_1769015406742356185,D.P.I.,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_2257876563000605909,SUP_1362513854579571370,D.S.A,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_2257876563000605909,SUP_1362513854579571370,D.S.A,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_2767987465356192996,SUP_3591434645509264740,DATAONE,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_2767987465356192996,SUP_3591434645509264740,DATAONE,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_7223460349495851271,SUP_5369556741092040777,DB ELECTRONIC INSTRUMENTS S.R.L.,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_1444692329784303441,SUP_5369556741092040777,DB ELECTRONIC INSTRUMENTS S.R.L.,QUESTIONARIO PRE-QUALIFICA in attesa approvazione Spartaco,QUESTIONARIO PRE-QUALIFICA IN ATTESA APPROVAZIONE SPARTACO,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_8326091543773251629,SUP_1991147364829902187,DEEP LAB S.R.L.,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_6806912346494971694,SUP_1991147364829902187,DEEP LAB S.R.L.,QUESTIONARIO PRE-QUALIFICA,QUESTIONARIO PRE-QUALIFICA,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_1588783819917868828,SUP_5288377155246888335,DIGI-KEY,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_6970645649182220414,SUP_5288377155246888335,DIGI-KEY,ISO 9001:2015,ISO 9001:2015,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_9145321564605846169,SUP_3846349855479171383,DIMAC RED S.P.A.,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_3919560679839353861,SUP_3846349855479171383,DIMAC RED S.P.A.,ISO 9001:2015,ISO 9001:2015,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_1465361402747900102,SUP_4640225959113122904,DISTRELEC ITALIA S.R.L.,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_3916500426516451484,SUP_4640225959113122904,DISTRELEC ITALIA S.R.L.,ISO 9001:2015,ISO 9001:2015,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_1713056865154539889,SUP_3173842864861044024,E.S.E. GEA S.R.L.,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
CERT_1713056865154539889,SUP_3173842864861044024,E.S.E. GEA S.R.L.,nan,NAN,,,C:\Users\riccardo.dibiagio\PycharmProjects\etl_tool\Registro fornitori e Ordini.xlsx,,,CERTIFICAZIONE/CERTIFICAZIONI
